krd_id;mno;krd_ref;lcy_tutar;usd_tutar;para_birimi;valor;vade;odeme_sablonu;krd_program;yapilandirma;teminat_tur_id;teminat;teminat_tutar;faiz_oran
433129;4237;1;3749424.98;4163310.04;EUR;2023-12-15;2024-12-09;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;5518479.0;0.4994
268611;4237;2;3236699.43;3236699.43;USD;2024-02-04;2025-01-29;360_gun_tek_taksit;reeskont;0;200;Ipotek;3036523.08;0.286
531239;4237;3;3318813.18;3604421.62;EUR;2024-02-04;2029-02-02;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;2410205.16;0.8699
526426;4237;4;660959.86;22601.25;TRY;2024-03-03;2025-02-26;360_gun_tek_taksit;isletme_kredi;0;200;Ipotek;593943.71;0.9369
177464;4237;5;1383688.86;42472.32;TRY;2024-09-10;2026-08-31;720_gun_4_taksit;yatirim_kredi;0;300;Kefalet;1387926.1;0.6259
271657;4237;6;4561122.16;4881415.66;EUR;2024-11-05;2025-10-31;360_gun_tek_taksit;reeskont;0;300;Kefalet;2981199.43;0.4184
369403;4237;7;2189580.07;2189580.07;USD;2024-12-31;2025-12-26;360_gun_tek_taksit;reeskont;0;300;Kefalet;2220757.99;0.4271
144107;4237;8;4018662.91;4018662.91;USD;2025-02-01;2027-01-22;720_gun_4_taksit;isletme_kredi;0;300;Kefalet;3714136.23;0.2699
526880;4237;9;2994523.28;89353.01;TRY;2025-02-14;2026-02-09;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2910205.27;0.4322
304977;4237;10;1845643.48;1845643.48;USD;2025-03-08;2026-03-03;360_gun_tek_taksit;reeskont;0;300;Kefalet;1901939.19;0.9586
306195;4237;11;87624.39;85345.23;EUR;2025-04-11;2026-04-06;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;90286.75;0.8407
165200;4237;12;154523.11;150503.88;EUR;2025-04-28;2030-04-27;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;155680.09;0.8898
540123;4237;13;1479874.66;1479874.66;USD;2025-09-06;2026-09-01;360_gun_tek_taksit;reeskont;0;200;Ipotek;1301401.48;0.872
304146;4237;14;2859298.49;81455.46;TRY;2025-09-27;2027-09-17;720_gun_4_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;3798394.55;0.6945
225020;4237;15;240141.68;32540.39;CNY;2026-01-07;2027-12-28;720_gun_4_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;274994.78;0.6145
509925;4237;16;4764742.38;5005255.61;EUR;2026-01-19;2028-01-09;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;6962399.59;0.0517
236582;4237;17;588510.14;588510.14;USD;2026-02-11;2033-02-09;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;531245.92;0.1295
338022;4237;18;31678.02;35167.3;EUR;2026-02-24;2031-02-23;5_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;47150.82;0.8833
356604;4412;1;3481859.96;483482.57;CNY;2024-01-31;2031-01-29;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3002625.34;0.7883
179059;4412;2;4875178.94;5294724.18;EUR;2024-02-09;2025-02-03;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;2532556.12;0.7043
454538;4412;3;1572542.27;1723795.22;EUR;2024-05-24;2025-05-19;360_gun_tek_taksit;reeskont;0;200;Ipotek;1036188.97;0.5369
366947;4412;4;4002308.44;4387265.31;EUR;2024-05-26;2029-05-25;5_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;3620079.35;0.1414
468491;4412;5;4776649.46;699134.88;CNY;2024-08-18;2025-08-13;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;4451962.34;0.8768
456935;4412;6;2740236.83;91338.18;TRY;2024-08-20;2029-08-19;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3330109.4;0.6775
387236;4412;7;2295925.95;2381640.01;EUR;2024-10-07;2026-09-27;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;2112194.39;0.0177
226955;4412;8;4290605.72;4290605.72;USD;2024-10-10;2031-10-09;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;2378383.73;0.4078
444749;4412;9;2110722.11;2258942.34;EUR;2024-11-12;2025-11-07;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;2942868.83;0.6745
276716;4412;10;592977.47;608293.46;EUR;2025-01-04;2025-12-30;360_gun_tek_taksit;reeskont;0;200;Ipotek;658965.09;0.4362
146031;4412;11;1947232.76;1997527.76;EUR;2025-01-26;2026-01-21;360_gun_tek_taksit;reeskont;0;200;Ipotek;2276608.28;0.3489
531440;4412;12;753321.01;98853.83;CNY;2025-03-30;2030-03-29;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;920302.31;0.0995
319069;4412;13;2306776.59;303714.94;CNY;2025-04-10;2026-04-05;360_gun_tek_taksit;isletme_kredi;0;300;Kefalet;1996052.97;0.9486
499891;4412;14;3052972.61;2973563.23;EUR;2025-04-27;2026-04-22;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;2228784.4;0.6133
488439;4412;15;3998304.02;3998304.02;USD;2025-05-31;2027-05-21;720_gun_4_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;5350114.35;0.7099
536775;4412;16;621870.37;84119.49;CNY;2025-07-13;2026-07-08;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;837460.64;0.5716
