krd_id;cust_id;taksit_tutar;valor
352485;4237;359779.42;2024-12-19
352485;4237;359779.42;2025-09-29
446742;4237;1247932.3;2025-01-03
446742;4237;1247932.3;2025-07-02
446742;4237;1247932.3;2025-12-29
158348;4237;780520.74;2025-04-26
158348;4237;780520.74;2025-10-23
538812;4237;928654.47;2025-05-06
538812;4237;928654.47;2025-11-02
523407;4237;1044442.11;2025-06-24
523407;4237;1044442.11;2025-12-21
316790;4237;530573.19;2025-11-21
318554;4237;108006.75;2025-10-01
282032;4237;20449.92;2026-02-25
331506;4412;4531998.99;2024-12-25
513098;4412;482064.71;2024-12-08
513098;4412;482064.71;2025-09-18
467311;4412;2000976.88;2024-09-01
467311;4412;2000976.88;2025-02-28
331494;4412;1096439.06;2024-09-08
331494;4412;1096439.06;2025-03-07
331494;4412;1096439.06;2025-09-03
191503;4412;4116158.63;2025-03-30
264102;4412;142084.09;2025-06-26
240581;4412;197839.13;2025-01-01
240581;4412;197839.13;2025-06-30
240581;4412;197839.13;2025-12-27
159346;4412;1017762.58;2025-01-04
159346;4412;1017762.58;2025-07-03
159346;4412;1017762.58;2025-12-30
543951;4412;4897451.19;2025-07-29
380113;4412;1517951.42;2025-11-22
500206;4412;1064373.66;2025-07-04
500206;4412;1064373.66;2025-12-31
347098;4412;1907107.81;2026-02-26
290094;4412;71588.29;2025-09-30
480733;4412;492844.68;2025-12-26
284133;4625;4900844.78;2024-12-10
442240;4625;662450.94;2024-12-01
442240;4625;662450.94;2025-05-30
171085;4625;3739568.08;2025-08-18
308508;4625;2761085.32;2025-08-20
158883;4625;222732.67;2025-10-15
396674;4625;48334.75;2025-05-28
396674;4625;48334.75;2025-12-17
506431;4625;4063915.18;2025-11-17
128247;4625;1108280.01;2026-01-11
208867;4625;229626.97;2026-01-16
252072;4625;178289.31;2025-09-01
252072;4625;178289.31;2026-02-28
287554;4625;1026528.31;2025-11-17
547275;4625;226987.16;2025-12-19
142385;4625;1576512.27;2026-01-06
487009;4625;709564.99;2026-01-30
159157;4625;26021.82;2026-02-22
399786;4671;122126.07;2024-06-15
399786;4671;122126.07;2024-12-12
399786;4671;122126.07;2025-06-10
399786;4671;122126.07;2025-12-07
389646;4671;474713.85;2024-06-30
389646;4671;474713.85;2024-12-27
389646;4671;474713.85;2025-06-25
389646;4671;474713.85;2025-12-22
406066;4671;1760702.66;2024-08-05
406066;4671;1760702.66;2025-02-01
238572;4671;178205.17;2024-08-27
238572;4671;178205.17;2025-02-23
238572;4671;178205.17;2025-08-22
238572;4671;178205.17;2026-02-18
376630;4671;247594.47;2025-01-03
376630;4671;247594.47;2025-10-14
182291;4671;2272907.23;2025-01-06
182291;4671;2272907.23;2025-07-05
166903;4671;4926234.31;2025-07-12
299658;4671;1404669.21;2025-10-11
170488;4671;503285.17;2025-06-09
170488;4671;503285.17;2025-12-29
205278;4671;158677.63;2025-09-03
