credit_id;collateral_id;relation_tp
352485;850312;POOL
446742;648953;POOL
446742;869959;POOL
446742;946806;DIRECT
158348;869959;POOL
158348;774876;CROSS
538812;728507;CROSS
523407;948845;POOL
316790;963333;CROSS
316790;906947;POOL
316790;648953;CROSS
318554;963333;POOL
539384;789281;POOL
539384;774876;DIRECT
539384;906947;POOL
284722;869959;CROSS
284722;774876;POOL
284722;850312;POOL
190634;850312;POOL
190634;728507;CROSS
190634;948845;DIRECT
317478;869959;DIRECT
282032;776186;DIRECT
282032;946806;CROSS
282032;948845;DIRECT
176922;906947;CROSS
176922;728507;CROSS
176922;776186;DIRECT
120629;789281;CROSS
238252;728507;CROSS
238252;948845;POOL
543784;946806;CROSS
543784;648953;POOL
543784;789281;DIRECT
250165;648953;CROSS
250165;774876;CROSS
250165;728507;CROSS
382394;728507;DIRECT
331506;923433;CROSS
331506;618608;POOL
331506;892206;POOL
513098;667136;DIRECT
467311;884846;CROSS
467311;761238;POOL
331494;823954;POOL
331494;771301;DIRECT
334830;884846;CROSS
334830;823954;CROSS
191503;923433;POOL
191503;618608;POOL
549080;761238;POOL
549080;618608;DIRECT
549080;923433;DIRECT
264102;923433;DIRECT
264102;749148;CROSS
264102;669582;POOL
240581;923433;CROSS
159346;749148;CROSS
543951;749148;DIRECT
543951;618608;CROSS
543951;884846;POOL
380113;884846;POOL
500206;761238;CROSS
500206;884846;DIRECT
347098;823954;DIRECT
290094;771301;POOL
480733;923433;DIRECT
480733;618608;DIRECT
480733;669582;CROSS
133768;892206;DIRECT
133768;923433;POOL
400407;607412;DIRECT
123580;923433;CROSS
239282;761238;POOL
370738;749148;POOL
370738;669582;CROSS
253408;823954;POOL
458456;941688;POOL
458456;618608;POOL
458456;607412;CROSS
464893;761238;POOL
284133;863260;CROSS
284133;643103;DIRECT
284133;912856;DIRECT
442240;943070;CROSS
171085;943070;CROSS
171085;794192;CROSS
308508;952613;POOL
158883;782808;POOL
396674;952613;DIRECT
506431;912856;POOL
506431;837892;DIRECT
128247;614635;DIRECT
128247;782808;CROSS
128247;863260;CROSS
208867;794192;DIRECT
208867;912856;POOL
208867;614635;DIRECT
252072;912856;POOL
252072;778630;DIRECT
252072;867441;POOL
164555;867441;CROSS
158288;943070;POOL
287554;778630;DIRECT
547275;963119;CROSS
142385;837892;DIRECT
142385;867441;POOL
142385;614635;CROSS
487009;912856;POOL
159157;837892;CROSS
159157;794192;DIRECT
503130;943070;POOL
503130;713094;CROSS
503130;963119;POOL
195681;954400;DIRECT
195681;713094;DIRECT
543967;794192;CROSS
543967;912856;POOL
543967;952613;CROSS
546496;867441;POOL
546496;713094;POOL
546496;963119;POOL
294177;713094;POOL
137620;863260;DIRECT
456370;922616;DIRECT
308700;963119;CROSS
308700;782808;DIRECT
308700;922616;DIRECT
399786;730554;POOL
389646;830549;POOL
389646;626797;POOL
389646;865928;DIRECT
406066;750980;POOL
406066;930154;CROSS
406066;865928;CROSS
238572;922406;POOL
376630;830549;DIRECT
182291;888287;DIRECT
182291;830549;DIRECT
166903;626797;DIRECT
166903;865928;CROSS
166903;982458;DIRECT
299658;626797;POOL
170488;865928;CROSS
267729;922406;DIRECT
205278;865928;CROSS
205278;799824;DIRECT
480971;750980;CROSS
480971;730554;POOL
308856;865928;DIRECT
225209;830549;POOL
225209;888287;POOL
225209;636225;DIRECT
164928;922406;DIRECT
453079;638435;CROSS
326172;865928;CROSS
326172;626797;DIRECT
122274;730554;DIRECT
122274;729040;POOL
122274;638435;DIRECT
483298;837904;POOL
483298;922406;DIRECT
483298;638435;POOL
137733;830549;POOL
137733;730554;CROSS
349466;837904;DIRECT
349466;771316;CROSS
349466;910291;DIRECT
345766;750980;POOL
304641;667473;DIRECT
304641;771316;CROSS
478154;741286;CROSS
478154;844635;POOL
392051;651723;CROSS
392051;731442;CROSS
350199;816564;CROSS
394788;816564;DIRECT
394788;748636;DIRECT
488866;921019;CROSS
488866;776107;DIRECT
488866;632193;CROSS
480587;844635;CROSS
210111;716156;POOL
331433;921019;DIRECT
543413;791735;DIRECT
543413;849609;DIRECT
385706;844635;CROSS
413856;776107;DIRECT
413856;871754;DIRECT
413856;849609;CROSS
529215;895902;DIRECT
536397;748636;CROSS
536397;895902;CROSS
536397;731442;CROSS
207642;731442;POOL
207642;849609;DIRECT
494352;818182;DIRECT
529511;883989;POOL
529511;895902;CROSS
529511;871754;DIRECT
257160;731442;DIRECT
257160;921019;CROSS
257160;821374;CROSS
323175;716156;DIRECT
323175;818182;CROSS
212114;821374;POOL
483558;921019;CROSS
483558;987046;CROSS
177616;895902;CROSS
316562;844635;POOL
427947;844635;DIRECT
163343;632193;POOL
163343;849609;POOL
163343;748636;CROSS
325806;731442;POOL
325806;921019;DIRECT
325806;816564;DIRECT
287738;921019;DIRECT
287738;776107;DIRECT
287738;883989;POOL
191119;844635;POOL
530972;672092;CROSS
530972;984671;CROSS
173899;749754;POOL
360766;656899;POOL
360766;782150;CROSS
360766;771241;DIRECT
451211;689704;DIRECT
451211;749754;CROSS
265473;868235;DIRECT
265473;627599;CROSS
265473;876328;DIRECT
440527;876328;DIRECT
362243;999975;CROSS
362243;631879;POOL
362243;736086;POOL
163974;764263;POOL
191913;602346;DIRECT
211463;828045;CROSS
211463;844420;CROSS
421413;984671;CROSS
150127;868235;POOL
150127;999975;POOL
150127;771241;DIRECT
547407;672092;POOL
145145;689704;DIRECT
145145;631879;DIRECT
206179;926159;DIRECT
484994;926159;DIRECT
484994;984671;POOL
471185;689704;DIRECT
471185;766376;CROSS
471185;828045;DIRECT
420269;743301;POOL
489616;771241;DIRECT
451154;800168;DIRECT
451154;844420;CROSS
451154;627599;DIRECT
510180;672092;POOL
374456;984671;POOL
374456;689704;POOL
374456;715545;DIRECT
362665;766376;POOL
362665;672092;DIRECT
434475;672092;POOL
485552;743301;POOL
420993;999975;CROSS
420993;736086;CROSS
420993;766376;CROSS
531183;766724;POOL
531183;693589;POOL
250454;923489;CROSS
250454;816744;POOL
382388;727585;DIRECT
466133;766724;POOL
466133;923489;DIRECT
203349;816744;CROSS
309715;816744;POOL
221088;974284;DIRECT
221088;816744;POOL
221088;808131;CROSS
372833;766724;DIRECT
372833;808131;CROSS
372833;974284;CROSS
532809;923489;CROSS
532809;816744;POOL
369984;808131;POOL
526880;667040;CROSS
526880;974284;CROSS
261545;833070;DIRECT
261545;731073;CROSS
233779;808131;DIRECT
233779;693589;CROSS
151959;816744;CROSS
151959;667040;CROSS
351047;731073;POOL
351047;808131;POOL
351047;923489;CROSS
483573;731073;DIRECT
483573;727585;DIRECT
410934;833070;POOL
418148;833070;CROSS
418148;667040;POOL
322315;727585;DIRECT
322315;808131;DIRECT
222860;727585;POOL
222860;766724;DIRECT
222860;932802;CROSS
297752;974284;POOL
297752;736898;POOL
297752;816744;CROSS
455697;603734;POOL
536125;991318;DIRECT
536125;984795;POOL
536125;603734;POOL
522429;843377;DIRECT
522429;602802;CROSS
522429;603734;DIRECT
393214;999405;DIRECT
393214;861944;DIRECT
502735;755070;DIRECT
502735;827453;CROSS
502735;843377;DIRECT
545180;614024;CROSS
397787;602802;DIRECT
397787;991318;CROSS
397787;614024;DIRECT
338387;827453;CROSS
258042;602802;DIRECT
432669;861944;DIRECT
432669;991318;POOL
510379;602802;DIRECT
270004;614024;POOL
433271;843377;POOL
433271;999405;CROSS
433271;984795;DIRECT
274765;755070;DIRECT
274765;603734;POOL
274765;991318;POOL
126268;843377;CROSS
218905;827453;DIRECT
218905;991318;CROSS
383667;843377;DIRECT
383667;614024;CROSS
383667;991318;POOL
466944;938535;POOL
466944;614024;POOL
466944;827453;POOL
213319;938535;CROSS
213319;602802;CROSS
213319;984795;DIRECT
154046;861944;DIRECT
154046;991318;DIRECT
154046;602802;DIRECT
445353;999405;POOL
445353;614024;CROSS
285155;843377;POOL
417424;602802;POOL
410514;938535;CROSS
410514;984795;POOL
410514;991318;POOL
254177;827453;DIRECT
254177;984795;CROSS
368944;681039;CROSS
520480;888026;DIRECT
309702;802451;DIRECT
309702;741698;POOL
309702;997027;POOL
395501;789813;POOL
395501;844698;CROSS
165604;844698;DIRECT
165604;686071;CROSS
165604;885924;CROSS
342903;741698;POOL
342903;972934;POOL
342903;802451;CROSS
495344;985598;CROSS
495344;752521;CROSS
495344;753121;POOL
414589;686071;POOL
414589;752521;CROSS
414589;830217;DIRECT
259838;997027;CROSS
315887;972934;POOL
315887;686071;POOL
315887;888026;CROSS
191003;686071;POOL
242157;632773;POOL
224806;972934;CROSS
224806;888026;DIRECT
224806;789813;POOL
300624;753121;CROSS
300624;972934;CROSS
300624;888026;CROSS
180943;753121;POOL
180943;752388;DIRECT
136354;972934;DIRECT
154229;632773;CROSS
154229;997027;POOL
154229;888026;DIRECT
180505;997027;POOL
180505;972934;POOL
167679;997027;POOL
167679;741698;DIRECT
167679;888026;POOL
414107;888026;CROSS
414107;789813;CROSS
414107;681039;DIRECT
440799;789813;POOL
440799;753121;DIRECT
443223;632773;DIRECT
443223;753121;DIRECT
443223;844698;DIRECT
291599;802451;CROSS
291599;753121;CROSS
291599;752521;CROSS
353169;997027;POOL
353169;802451;DIRECT
348056;752388;POOL
316831;625708;POOL
316831;762863;CROSS
244778;970204;DIRECT
244778;706907;DIRECT
244778;873308;CROSS
432984;939871;POOL
228409;748344;POOL
242034;977532;DIRECT
260885;955042;CROSS
260885;748344;POOL
260885;977532;DIRECT
325066;748344;DIRECT
325066;892367;CROSS
548397;892367;DIRECT
548397;755987;DIRECT
487858;755987;POOL
487858;625708;DIRECT
323190;873308;DIRECT
323190;762863;CROSS
295968;896827;CROSS
295968;977532;DIRECT
504338;968858;POOL
504338;625708;CROSS
504338;748344;CROSS
462745;748344;CROSS
462745;939871;DIRECT
192282;654442;DIRECT
192282;625708;CROSS
291670;892367;DIRECT
334248;625708;DIRECT
334248;873308;CROSS
334248;654442;DIRECT
120088;762863;POOL
120088;748344;CROSS
322226;977532;CROSS
322226;614891;CROSS
322226;654442;POOL
194278;614891;CROSS
194278;892367;CROSS
194278;762863;CROSS
255206;896827;POOL
255206;654442;POOL
263643;939871;DIRECT
414553;970204;DIRECT
420352;977532;CROSS
508382;939871;CROSS
508382;762863;POOL
305553;913053;CROSS
305553;993318;DIRECT
226955;759970;POOL
372532;651349;CROSS
372532;880124;DIRECT
372532;912450;CROSS
320791;993318;CROSS
320791;734027;DIRECT
320791;880124;POOL
381642;993318;DIRECT
381642;913053;POOL
381642;759970;CROSS
463297;656599;POOL
184239;805598;DIRECT
184239;939726;CROSS
347493;913053;CROSS
347493;759970;POOL
347493;791478;POOL
228610;913053;DIRECT
330200;912450;POOL
330200;656599;POOL
174316;912450;CROSS
133982;656599;DIRECT
474608;912450;CROSS
474608;949073;CROSS
474608;913053;POOL
403730;656599;DIRECT
538410;651349;DIRECT
538410;656599;POOL
538410;759970;POOL
323567;913053;DIRECT
498160;791478;CROSS
498160;651349;DIRECT
498160;759970;DIRECT
211594;656599;DIRECT
211594;939726;CROSS
196778;949073;DIRECT
196778;805598;POOL
196778;939726;DIRECT
355323;651349;CROSS
355323;939726;POOL
355323;949073;POOL
521686;913053;POOL
229776;651349;POOL
168833;734027;POOL
168833;656599;POOL
168833;759970;CROSS
459162;913053;DIRECT
459162;656599;CROSS
434218;651349;CROSS
434218;734027;CROSS
434218;913053;POOL
171172;651349;DIRECT
171172;656599;DIRECT
171172;939726;POOL
368058;949073;DIRECT
368058;805598;DIRECT
394969;791478;CROSS
394969;759970;DIRECT
394969;993318;CROSS
337065;714262;POOL
337065;756974;CROSS
337065;957440;DIRECT
530930;760317;POOL
530930;943662;POOL
526255;628252;POOL
251366;834582;DIRECT
264683;916525;POOL
264683;840127;CROSS
264683;714262;DIRECT
264187;916525;DIRECT
476724;943662;DIRECT
476724;967739;CROSS
476724;714262;DIRECT
540567;671883;CROSS
540567;643316;DIRECT
540567;628252;POOL
347389;916525;DIRECT
347389;840127;DIRECT
460384;628252;CROSS
417582;702744;DIRECT
417582;967739;POOL
458454;628252;POOL
458454;702744;POOL
467434;953883;POOL
467434;957440;POOL
467434;840127;POOL
325993;671707;DIRECT
325993;643316;POOL
325993;622917;POOL
478856;956964;POOL
478856;763711;DIRECT
478856;760317;DIRECT
396014;756974;DIRECT
338067;897491;POOL
338067;943662;POOL
328734;714262;DIRECT
328734;834582;POOL
523960;953883;DIRECT
523960;916525;CROSS
523960;957440;POOL
496840;756974;DIRECT
496840;702744;CROSS
496840;760317;POOL
236411;643316;POOL
208021;622917;POOL
208021;702744;POOL
