krd_id;mno;pb;commitment_tutar
352485;4237;EUR;200932.16
446742;4237;TRY;1291657.98
158348;4237;CNY;315810.39
538812;4237;EUR;482293.67
523407;4237;USD;1236019.02
316790;4237;USD;356639.36
318554;4237;CNY;160304.42
539384;4237;TRY;725187.54
284722;4237;EUR;37534.19
190634;4237;USD;21370.62
317478;4237;TRY;481367.32
282032;4237;CNY;16269.55
176922;4237;CNY;864553.96
120629;4237;TRY;44934.54
238252;4237;CNY;1535317.59
543784;4237;TRY;356493.42
250165;4237;CNY;1089366.67
382394;4237;EUR;85675.44
331506;4412;TRY;553640.77
513098;4412;EUR;1339795.95
467311;4412;CNY;257616.3
331494;4412;EUR;255529.12
334830;4412;CNY;116871.51
191503;4412;CNY;602000.51
549080;4412;CNY;40772.82
264102;4412;CNY;1787.68
240581;4412;CNY;230995.47
159346;4412;CNY;242058.08
543951;4412;CNY;838357.99
380113;4412;USD;523252.77
500206;4412;TRY;1456663.02
347098;4412;CNY;485699.85
290094;4412;EUR;4166.51
480733;4412;EUR;1418286.85
133768;4412;USD;19562.42
400407;4412;EUR;26411.34
123580;4412;EUR;36955.51
239282;4412;EUR;1273167.25
370738;4412;CNY;81245.18
253408;4412;CNY;5177.79
458456;4412;TRY;121003.94
464893;4412;EUR;185216.33
284133;4625;CNY;1635962.82
442240;4625;CNY;314202.08
171085;4625;EUR;483264.58
308508;4625;EUR;375307.16
158883;4625;CNY;27706.33
396674;4625;CNY;125328.72
506431;4625;EUR;62980.82
128247;4625;CNY;42596.11
208867;4625;USD;81295.8
252072;4625;EUR;247975.6
164555;4625;CNY;1266310.68
158288;4625;EUR;233292.89
287554;4625;CNY;1207514.47
547275;4625;TRY;178290.3
142385;4625;CNY;375986.49
487009;4625;CNY;862282.72
159157;4625;USD;64720.72
503130;4625;EUR;1307660.49
195681;4625;CNY;3706.57
543967;4625;TRY;187149.55
546496;4625;CNY;100350.54
294177;4625;EUR;444500.42
137620;4625;EUR;49225.38
456370;4625;EUR;785134.24
308700;4625;CNY;364744.37
399786;4671;TRY;182492.6
389646;4671;USD;347679.82
406066;4671;CNY;1310878.46
238572;4671;USD;56314.41
376630;4671;EUR;444845.45
182291;4671;TRY;1742476.55
166903;4671;EUR;311034.31
299658;4671;USD;231301.97
170488;4671;EUR;718999.63
267729;4671;EUR;207603.84
205278;4671;TRY;514675.21
480971;4671;TRY;335398.79
308856;4671;USD;205818.45
225209;4671;USD;362243.68
164928;4671;CNY;33896.65
453079;4671;USD;426767.96
326172;4671;USD;181310.63
122274;4671;EUR;1358664.08
483298;4671;TRY;60209.98
137733;4671;TRY;133163.29
349466;4671;CNY;624020.05
345766;4671;USD;372198.31
304641;4671;TRY;1604278.27
478154;4952;EUR;79.39
392051;4952;USD;77566.96
350199;4952;USD;20988.58
394788;4952;EUR;17537.88
488866;4952;CNY;338635.73
480587;4952;TRY;52785.75
210111;4952;USD;639889.7
331433;4952;USD;177555.63
543413;4952;CNY;1195198.28
385706;4952;EUR;78267.05
413856;4952;EUR;1040089.39
529215;4952;USD;702803.92
536397;4952;TRY;1515711.15
207642;4952;USD;238924.83
494352;4952;TRY;9930.77
529511;4952;TRY;823410.06
257160;4952;CNY;431346.57
323175;4952;EUR;583888.59
212114;4952;TRY;1415327.35
483558;4952;USD;720589.93
177616;4952;TRY;284329.98
316562;4952;TRY;1532751.94
427947;4952;CNY;1060833.89
163343;4952;CNY;401968.89
325806;4952;CNY;35904.21
287738;4952;CNY;500667.03
191119;4952;USD;196919.89
530972;5476;TRY;474789.29
173899;5476;TRY;428671.0
360766;5476;TRY;184802.66
451211;5476;TRY;577174.99
265473;5476;USD;1248454.5
440527;5476;EUR;1336222.44
362243;5476;CNY;159512.15
163974;5476;CNY;362091.85
191913;5476;TRY;332653.13
211463;5476;CNY;594022.29
421413;5476;TRY;1068637.53
150127;5476;TRY;379101.25
547407;5476;TRY;529027.29
145145;5476;EUR;1360916.54
206179;5476;USD;64340.09
484994;5476;EUR;383433.03
471185;5476;CNY;568186.45
420269;5476;CNY;1175199.93
489616;5476;TRY;3976.9
451154;5476;USD;1563742.65
510180;5476;TRY;199408.17
374456;5476;TRY;198076.78
362665;5476;CNY;1619329.16
434475;5476;CNY;851502.37
485552;5476;TRY;35645.88
420993;5476;EUR;867647.48
531183;5578;USD;414784.12
250454;5578;CNY;796891.54
382388;5578;TRY;817506.31
466133;5578;CNY;18433.08
203349;5578;CNY;17356.22
309715;5578;USD;1200006.37
221088;5578;USD;628624.68
372833;5578;CNY;1107063.17
532809;5578;USD;553022.93
369984;5578;USD;368097.44
526880;5578;USD;515951.79
261545;5578;EUR;382670.58
233779;5578;TRY;134113.94
151959;5578;TRY;619804.79
351047;5578;USD;1946028.85
483573;5578;CNY;735182.44
410934;5578;CNY;57482.24
418148;5578;USD;97103.79
322315;5578;CNY;695529.08
222860;5578;TRY;1371450.02
297752;5578;EUR;1476387.7
455697;5839;USD;266624.95
536125;5839;USD;568818.39
522429;5839;USD;1559190.04
393214;5839;TRY;9463.05
502735;5839;CNY;625638.59
545180;5839;EUR;747374.43
397787;5839;EUR;61429.12
338387;5839;EUR;126598.08
258042;5839;EUR;1015194.7
432669;5839;EUR;904729.36
510379;5839;EUR;1023743.03
270004;5839;CNY;350667.57
433271;5839;USD;647063.52
274765;5839;TRY;1488935.97
126268;5839;EUR;1398124.76
218905;5839;EUR;431100.42
383667;5839;USD;260986.69
466944;5839;USD;241334.23
213319;5839;CNY;203726.03
154046;5839;EUR;734712.11
445353;5839;EUR;683417.54
285155;5839;EUR;202461.48
417424;5839;CNY;718040.99
410514;5839;CNY;726462.16
254177;5839;CNY;11219.28
368944;5939;USD;843461.6
520480;5939;CNY;329641.22
309702;5939;USD;380836.1
395501;5939;EUR;1944666.45
165604;5939;TRY;1095276.8
342903;5939;USD;16489.11
495344;5939;TRY;839309.55
414589;5939;EUR;43085.6
259838;5939;EUR;168329.78
315887;5939;CNY;56197.95
191003;5939;USD;40563.31
242157;5939;CNY;228226.44
224806;5939;USD;619344.89
300624;5939;TRY;248183.12
180943;5939;USD;274151.04
136354;5939;USD;229592.89
154229;5939;TRY;3072.0
180505;5939;USD;1679808.23
167679;5939;TRY;1169955.2
414107;5939;USD;224830.09
440799;5939;CNY;711518.45
443223;5939;TRY;1005.15
291599;5939;CNY;658197.46
353169;5939;CNY;108640.78
348056;5939;EUR;22898.21
316831;6152;EUR;99117.76
244778;6152;TRY;421941.59
432984;6152;EUR;197793.58
228409;6152;EUR;948890.89
242034;6152;EUR;49138.64
260885;6152;TRY;1314643.73
325066;6152;CNY;389058.35
548397;6152;EUR;524494.82
487858;6152;CNY;191383.96
323190;6152;USD;563653.59
295968;6152;CNY;830475.69
504338;6152;TRY;171756.09
462745;6152;CNY;189727.98
192282;6152;EUR;523853.38
291670;6152;EUR;64704.69
334248;6152;USD;399324.14
120088;6152;EUR;764664.63
322226;6152;USD;50363.66
194278;6152;USD;2334.62
255206;6152;EUR;173275.65
263643;6152;CNY;345046.87
414553;6152;TRY;1739399.74
420352;6152;USD;91204.98
508382;6152;TRY;211703.07
305553;6258;USD;711884.91
226955;6258;EUR;357869.04
372532;6258;EUR;1041121.45
320791;6258;USD;415900.4
381642;6258;TRY;687482.04
463297;6258;CNY;169757.15
184239;6258;EUR;245796.83
347493;6258;EUR;732167.18
228610;6258;EUR;675546.97
330200;6258;TRY;406872.93
174316;6258;TRY;136747.66
133982;6258;EUR;1198717.21
474608;6258;USD;245327.34
403730;6258;CNY;322732.92
538410;6258;TRY;48055.14
323567;6258;USD;874976.87
498160;6258;TRY;153290.53
211594;6258;TRY;460253.36
196778;6258;USD;95828.04
355323;6258;TRY;1601123.11
521686;6258;USD;947143.89
229776;6258;EUR;552341.93
168833;6258;EUR;144958.38
459162;6258;USD;276826.62
434218;6258;TRY;577995.39
171172;6258;TRY;165918.77
368058;6258;USD;645246.55
394969;6258;CNY;609096.27
337065;6282;EUR;126185.16
530930;6282;USD;623823.09
526255;6282;EUR;728729.31
251366;6282;CNY;49816.44
264683;6282;USD;23660.28
264187;6282;EUR;91554.5
476724;6282;USD;238207.02
540567;6282;USD;21689.45
347389;6282;CNY;89398.1
460384;6282;USD;181243.97
417582;6282;USD;310833.71
458454;6282;CNY;198076.69
467434;6282;TRY;139203.86
325993;6282;EUR;1385335.74
478856;6282;EUR;784318.63
396014;6282;TRY;1477945.4
338067;6282;USD;73636.16
328734;6282;EUR;301399.58
523960;6282;EUR;302265.47
496840;6282;CNY;169476.89
236411;6282;CNY;1462.17
208021;6282;EUR;671588.29
180337;6282;TRY;1160935.41
204049;6282;TRY;29320.44
163828;6303;CNY;470271.47
452171;6303;TRY;62224.45
494127;6303;EUR;784217.18
181895;6303;TRY;1671625.35
476572;6303;USD;1378561.13
199145;6303;TRY;1019383.77
197764;6303;USD;47901.34
269949;6303;EUR;1338996.68
270269;6303;USD;74149.32
497704;6303;EUR;24436.74
230469;6303;CNY;282735.68
424358;6303;CNY;424635.06
326753;6303;USD;119598.93
241503;6303;USD;235880.74
242948;6303;TRY;688394.43
468491;6303;USD;836225.49
143720;6303;EUR;504098.02
387136;6303;USD;442782.12
512114;6303;TRY;256708.44
366148;6303;CNY;249324.97
523116;6303;TRY;514331.67
302609;7047;USD;11150.92
445651;7047;EUR;279754.4
284643;7047;EUR;644007.17
354392;7047;USD;839302.01
528696;7047;EUR;300149.14
303173;7047;EUR;1297271.23
410621;7047;EUR;827881.26
462712;7047;TRY;1141582.06
340657;7047;CNY;956682.16
297366;7047;TRY;122116.07
357697;7047;USD;252113.94
534139;7047;TRY;64813.55
169903;7047;EUR;747088.53
151703;7047;USD;90649.44
196650;7047;EUR;1517682.56
208596;7047;USD;469428.94
462640;7047;CNY;452456.67
486640;7047;EUR;157936.52
386518;7047;EUR;155436.52
338118;7047;USD;473876.91
457818;7047;EUR;293674.24
204965;7047;USD;324797.73
336510;7047;EUR;30853.91
293924;7047;EUR;429742.42
337151;7047;USD;282933.62
270511;7047;USD;59840.04
441019;7047;EUR;562712.74
136158;7047;EUR;555048.37
237319;7047;TRY;256655.95
231547;7047;USD;265383.46
504867;7203;EUR;544932.19
419622;7203;TRY;568153.69
469217;7203;USD;813328.2
375875;7203;EUR;443763.16
165991;7203;CNY;1092099.51
183883;7203;CNY;329323.21
416563;7203;CNY;467354.97
373272;7203;EUR;759456.32
256638;7203;USD;975075.16
434547;7203;EUR;1389659.61
194822;7203;EUR;487928.95
438947;7203;EUR;482959.5
323440;7203;EUR;125704.37
533186;7203;CNY;891350.9
247100;7203;EUR;631262.56
385979;7203;USD;71203.48
319613;7203;USD;48212.83
309933;7203;TRY;33983.02
354144;7203;TRY;26469.05
241750;7203;EUR;18419.25
213104;7287;USD;777100.78
143863;7287;TRY;723613.5
314356;7287;USD;786452.63
314014;7287;TRY;751355.05
208189;7287;EUR;676326.05
511650;7287;CNY;1442716.81
429418;7287;CNY;929183.19
281642;7287;USD;974241.38
417399;7287;EUR;1288665.36
539456;7287;EUR;381395.52
504269;7287;CNY;612983.24
457375;7287;EUR;620456.01
516806;7287;USD;440760.99
488803;7287;CNY;1044704.79
535140;7287;EUR;143269.68
395806;7287;USD;744903.22
182906;7287;USD;76674.88
532379;7287;EUR;758586.96
172898;7287;USD;327992.34
297009;7287;CNY;11400.99
284465;7287;CNY;192567.1
172942;7287;CNY;395594.49
343384;7287;USD;292794.15
257884;7865;TRY;949998.52
357729;7865;CNY;937357.63
225863;7865;EUR;602414.5
535810;7865;CNY;269276.58
327856;7865;EUR;376065.38
328821;7865;USD;96622.29
274849;7865;EUR;252406.85
362594;7865;TRY;730118.88
