krd_id;mno;valor;pb;vade;lcy_tutar;usd_tutar;valor_dt_usd_tutar;anapara_risk;faiz_risk
352485;4237;2024-03-11;EUR;2031-03-10;3238014.79;3525636.84;2742161.99;2518455.95;602330.71
446742;4237;2024-07-07;TRY;2026-06-27;4991729.2;152544.51;38136.13;1247932.3;24178.69
158348;4237;2024-10-28;CNY;2026-10-18;3122082.97;403738.56;201869.28;1561041.49;0.0
538812;4237;2024-11-07;EUR;2025-11-02;1857308.95;2105131.08;0.0;0.0;0.0
523407;4237;2024-12-26;USD;2026-12-16;4177768.45;4177768.45;2088884.22;2088884.23;291242.68
316790;4237;2025-02-11;USD;2032-02-10;4775158.71;4775158.71;4244585.52;4244585.52;1377320.84
318554;4237;2025-03-13;CNY;2030-03-12;972060.77;137238.74;121989.99;864054.02;372925.72
539384;4237;2025-05-07;TRY;2026-05-02;4209063.76;124276.65;124276.65;4209063.76;1357633.52
284722;4237;2025-05-22;EUR;2026-05-17;1080100.8;1067220.02;1067220.02;1080100.8;242752.65
190634;4237;2025-07-21;USD;2032-07-19;235717.07;235717.07;235717.07;235717.07;81251.67
317478;4237;2025-08-18;TRY;2026-08-13;2997723.06;90852.76;90852.76;2997723.06;51560.84
282032;4237;2025-08-29;CNY;2027-08-19;81799.66;10879.88;8159.91;61349.75;12172.56
176922;4237;2025-09-24;CNY;2026-09-19;3369660.78;440585.08;440585.08;3369660.78;1171125.6
120629;4237;2025-11-03;TRY;2027-10-24;2168415.38;62949.32;62949.32;2168415.38;737478.07
238252;4237;2025-12-01;CNY;2026-11-26;4199833.85;553840.27;553840.27;4199833.85;1545538.86
543784;4237;2026-01-08;TRY;2031-01-07;4439051.42;131429.32;131429.32;4439051.42;642996.6
250165;4237;2026-02-13;CNY;2027-02-08;4178152.37;572606.9;572606.9;4178152.37;7311.77
382394;4237;2026-02-16;EUR;2033-02-14;2704328.47;3131031.22;3131031.22;2704328.47;1050225.96
331506;4412;2023-12-31;TRY;2024-12-25;4531998.99;158510.83;0.0;0.0;0.0
513098;4412;2024-02-29;EUR;2031-02-27;4338582.43;4909328.75;3818366.81;3374453.0;541843.42
467311;4412;2024-03-05;CNY;2025-02-28;4001953.75;564133.44;0.0;0.0;0.0
331494;4412;2024-03-12;EUR;2026-03-02;4385756.26;4775328.36;1193832.09;1096439.06;93444.02
334830;4412;2024-03-23;CNY;2025-03-18;1260399.24;177671.56;177671.56;1260399.24;253655.35
191503;4412;2024-04-04;CNY;2025-03-30;4116158.63;577657.02;0.0;0.0;0.0
549080;4412;2024-06-26;CNY;2025-06-21;157417.44;21360.8;21360.8;157417.44;45714.02
264102;4412;2024-07-01;CNY;2025-06-26;142084.09;18285.95;0.0;0.0;0.0
240581;4412;2024-07-05;CNY;2026-06-25;791356.51;101846.06;25461.52;197839.13;20731.07
159346;4412;2024-07-08;CNY;2026-06-28;4071050.33;523936.34;130984.08;1017762.58;3078.73
543951;4412;2024-08-03;CNY;2025-07-29;4897451.19;693781.65;0.0;0.0;0.0
380113;4412;2024-11-27;USD;2025-11-22;1517951.42;1517951.42;0.0;0.0;0.0
500206;4412;2025-01-05;TRY;2026-12-26;4257494.65;130163.58;65081.79;2128747.33;78763.65
347098;4412;2025-03-03;CNY;2026-02-26;1907107.81;269251.77;0.0;0.0;0.0
290094;4412;2025-04-03;EUR;2027-03-24;286353.17;292918.98;219689.24;214764.88;4332.88
480733;4412;2025-06-07;EUR;2030-06-06;4435602.12;5340279.76;4746915.34;3942757.44;56425.24
133768;4412;2025-07-22;USD;2032-07-20;648028.16;648028.16;648028.16;648028.16;218093.88
400407;4412;2025-08-07;EUR;2026-08-02;109161.52;134005.51;134005.51;109161.52;29124.29
123580;4412;2025-09-04;EUR;2026-08-30;2547982.89;2568235.44;2568235.44;2547982.89;476855.0
239282;4412;2025-10-02;EUR;2026-09-27;3508993.01;3944037.3;3944037.3;3508993.01;102813.5
370738;4412;2025-12-28;CNY;2026-12-23;2429942.76;320441.29;320441.29;2429942.76;610401.62
253408;4412;2026-01-14;CNY;2028-01-04;275668.16;39906.56;39906.56;275668.16;6050.92
458456;4412;2026-01-30;TRY;2027-01-25;2843681.32;84194.36;84194.36;2843681.32;1300699.84
464893;4412;2026-02-12;EUR;2027-02-07;1180540.28;1366811.95;1366811.95;1180540.28;478532.0
284133;4625;2023-12-16;CNY;2024-12-10;4900844.78;687034.64;0.0;0.0;0.0
442240;4625;2024-06-04;CNY;2025-05-30;1324901.89;179782.89;0.0;0.0;0.0
171085;4625;2024-08-23;EUR;2025-08-18;3739568.08;3928780.13;0.0;0.0;0.0
308508;4625;2024-08-25;EUR;2025-08-20;2761085.32;2900788.78;0.0;0.0;0.0
158883;4625;2024-10-20;CNY;2025-10-15;222732.67;28803.13;0.0;0.0;0.0
396674;4625;2024-11-07;CNY;2029-11-06;435012.76;62602.41;48690.76;338343.26;45749.65
506431;4625;2024-11-22;EUR;2025-11-17;4063915.18;4606166.44;0.0;0.0;0.0
128247;4625;2025-01-16;CNY;2026-01-11;1108280.01;149885.89;0.0;0.0;0.0
208867;4625;2025-01-21;USD;2026-01-16;229626.97;229626.97;0.0;0.0;0.0
252072;4625;2025-03-05;EUR;2027-02-23;713157.24;747080.77;373540.38;356578.62;52381.4
164555;4625;2025-03-18;CNY;2026-03-13;3706080.42;523236.65;523236.65;3706080.42;884085.48
158288;4625;2025-05-05;EUR;2026-04-30;4476311.18;4422928.77;4422928.77;4476311.18;673461.02
287554;4625;2025-05-21;CNY;2027-05-11;4106113.24;546754.34;410065.76;3079584.93;1127936.48
547275;4625;2025-06-22;TRY;2027-06-12;907948.65;27201.68;20401.26;680961.49;40832.15
142385;4625;2025-07-10;CNY;2026-07-05;3153024.55;395966.96;197983.48;1576512.27;26682.47
487009;4625;2025-08-03;CNY;2027-07-24;2838259.95;377506.79;283130.09;2128694.96;275320.08
159157;4625;2025-08-04;USD;2030-08-03;234196.37;234196.37;208174.55;208174.55;8928.38
503130;4625;2025-08-16;EUR;2026-08-11;4064114.51;4989063.49;4989063.49;4064114.51;1782114.21
195681;4625;2025-08-27;CNY;2030-08-26;2181186.79;290111.84;290111.84;2181186.79;726117.08
543967;4625;2025-09-07;TRY;2027-08-28;723467.95;18567.84;18567.84;723467.95;203800.92
546496;4625;2025-09-18;CNY;2027-09-08;1386839.17;181330.02;181330.02;1386839.17;258645.51
294177;4625;2025-10-28;EUR;2030-10-27;1556192.38;1749128.82;1749128.82;1556192.38;253581.55
137620;4625;2025-11-25;EUR;2026-11-20;362084.65;431716.07;431716.07;362084.65;114617.9
456370;4625;2025-12-25;EUR;2032-12-23;2908841.21;3203175.47;3203175.47;2908841.21;319245.32
308700;4625;2026-01-25;CNY;2028-01-15;1598042.93;231337.52;231337.52;1598042.93;281175.65
399786;4671;2023-12-18;TRY;2025-12-07;488504.27;17085.89;0.0;0.0;0.0
389646;4671;2024-01-02;USD;2025-12-22;1898855.4;1898855.4;0.0;0.0;0.0
406066;4671;2024-02-07;CNY;2025-02-01;3521405.31;482119.58;0.0;0.0;0.0
238572;4671;2024-02-29;USD;2026-02-18;712820.68;712820.68;0.0;0.0;0.0
376630;4671;2024-03-26;EUR;2031-03-25;2228350.22;2426287.14;1887112.22;1733161.28;202808.76
182291;4671;2024-07-10;TRY;2025-07-05;4545814.45;138917.6;0.0;0.0;0.0
166903;4671;2024-07-17;EUR;2025-07-12;4926234.31;4908289.58;0.0;0.0;0.0
299658;4671;2024-10-16;USD;2025-10-11;1404669.21;1404669.21;0.0;0.0;0.0
170488;4671;2024-11-19;EUR;2029-11-18;4529566.5;5133949.97;3993072.2;3522996.17;501850.8
267729;4671;2024-11-21;EUR;2025-11-16;632199.18;716553.99;716553.99;632199.18;185265.97
205278;4671;2024-11-24;TRY;2031-11-23;1428098.63;46895.94;41685.28;1269421.0;348836.89
480971;4671;2024-11-26;TRY;2025-11-21;1472208.78;48344.43;0.0;0.0;0.0
308856;4671;2024-12-25;USD;2025-12-20;4854777.51;4854777.51;0.0;0.0;0.0
225209;4671;2025-05-15;USD;2026-05-10;1208310.51;1208310.51;1208310.51;1208310.51;252718.14
164928;4671;2025-06-04;CNY;2032-06-02;1433433.43;214557.22;214557.22;1433433.43;127862.26
453079;4671;2025-06-16;USD;2026-06-11;2004681.26;2004681.26;1002340.63;1002340.63;231214.92
326172;4671;2025-08-09;USD;2027-07-30;678725.3;678725.3;509043.98;509043.98;2672.48
122274;4671;2025-08-15;EUR;2027-08-05;4522806.26;5552148.57;4164111.43;3392104.69;326023.66
483298;4671;2025-08-19;TRY;2032-08-17;2290216.94;69410.19;69410.19;2290216.94;798713.16
137733;4671;2025-10-06;TRY;2026-10-01;2822574.36;79904.61;79904.61;2822574.36;853687.62
349466;4671;2025-10-22;CNY;2026-10-17;3153605.47;450762.49;450762.49;3153605.47;340274.03
345766;4671;2025-11-28;USD;2026-11-23;4360356.55;4360356.55;4360356.55;4360356.55;2166007.12
304641;4671;2026-01-23;TRY;2027-01-18;4393566.63;130082.62;130082.62;4393566.63;1865288.71
478154;4952;2023-12-31;EUR;2024-12-25;213571.41;233852.82;0.0;0.0;0.0
392051;4952;2024-01-06;USD;2024-12-31;1320753.83;1320753.83;0.0;0.0;0.0
350199;4952;2024-01-07;USD;2025-12-27;1565142.88;1565142.88;0.0;0.0;0.0
394788;4952;2024-02-09;EUR;2026-01-29;1953256.41;2210209.9;0.0;0.0;0.0
488866;4952;2024-02-12;CNY;2026-02-01;3138602.61;429709.63;0.0;0.0;0.0
480587;4952;2024-07-02;TRY;2025-06-27;893492.82;27304.65;0.0;0.0;0.0
210111;4952;2024-08-25;USD;2026-08-15;3489934.8;3489934.8;872483.7;872483.7;80977.39
331433;4952;2024-09-07;USD;2025-09-02;1055554.06;1055554.06;0.0;0.0;0.0
543413;4952;2024-09-09;CNY;2031-09-08;3786787.82;476412.22;423477.53;3366033.62;504905.04
385706;4952;2024-09-19;EUR;2025-09-14;797993.99;828801.68;0.0;0.0;0.0
413856;4952;2024-10-03;EUR;2025-09-28;3125085.49;3246366.89;0.0;0.0;0.0
529215;4952;2024-11-07;USD;2025-11-02;2718315.75;2718315.75;0.0;0.0;0.0
536397;4952;2024-12-18;TRY;2026-12-08;4967680.85;148208.9;74104.45;2483840.42;88176.33
207642;4952;2025-01-04;USD;2025-12-30;1443140.45;1443140.45;0.0;0.0;0.0
494352;4952;2025-03-13;TRY;2026-03-08;177147.32;5324.84;2662.42;88573.66;20108.44
529511;4952;2025-04-09;TRY;2030-04-08;4775542.3;136040.22;120924.64;4244926.49;57919.66
257160;4952;2025-05-03;CNY;2026-04-28;1572386.98;209373.04;209373.04;1572386.98;144345.12
323175;4952;2025-07-25;EUR;2027-07-15;4098819.85;4452344.87;3339258.65;3074114.89;492588.48
212114;4952;2025-08-29;TRY;2027-08-19;4175662.83;126552.88;94914.66;3131747.12;352673.87
483558;4952;2025-09-15;USD;2026-09-10;1851169.35;1851169.35;1851169.35;1851169.35;675491.7
177616;4952;2025-10-10;TRY;2026-10-05;2498963.32;70743.46;70743.46;2498963.32;1132405.23
316562;4952;2025-11-02;TRY;2026-10-28;4311468.28;125162.37;125162.37;4311468.28;1487456.56
427947;4952;2025-11-21;CNY;2026-11-16;3947076.19;616633.97;616633.97;3947076.19;64732.05
163343;4952;2025-12-27;CNY;2026-12-22;3815433.06;503148.59;503148.59;3815433.06;147466.49
325806;4952;2026-01-22;CNY;2027-01-17;1098744.57;159057.58;159057.58;1098744.57;412248.96
287738;4952;2026-02-08;CNY;2027-02-03;3043567.97;417114.52;417114.52;3043567.97;1268559.13
191119;4952;2026-02-19;USD;2027-02-14;3136420.11;3136420.11;3136420.11;3136420.11;1202973.93
530972;5476;2023-12-29;TRY;2025-12-18;3173652.5;111001.41;0.0;0.0;0.0
173899;5476;2024-01-25;TRY;2025-01-19;1870248.69;63087.1;0.0;0.0;0.0
360766;5476;2024-03-22;TRY;2025-03-17;1311189.64;45438.75;0.0;0.0;0.0
451211;5476;2024-04-16;TRY;2025-04-11;2012328.36;67555.23;0.0;0.0;0.0
265473;5476;2024-05-08;USD;2025-05-03;3177354.77;3177354.77;0.0;0.0;0.0
440527;5476;2024-07-07;EUR;2025-07-02;3501918.72;3489162.33;0.0;0.0;0.0
362243;5476;2024-07-23;CNY;2025-07-18;741938.13;95486.01;0.0;0.0;0.0
163974;5476;2024-08-17;CNY;2025-08-12;1815786.99;257227.62;0.0;0.0;0.0
191913;5476;2024-08-27;TRY;2025-08-22;2315556.78;72621.91;72621.91;2315556.78;439955.79
211463;5476;2024-08-29;CNY;2026-08-19;2322884.69;329063.98;82266.0;580721.17;62616.26
421413;5476;2024-09-01;TRY;2026-08-22;4762709.42;143179.53;35794.88;1190677.35;91057.05
150127;5476;2024-09-06;TRY;2026-08-27;1026775.26;30867.55;7716.89;256693.82;369.0
547407;5476;2024-11-16;TRY;2025-11-11;2345894.01;77034.53;0.0;0.0;0.0
145145;5476;2024-12-20;EUR;2029-12-19;4605311.46;4782156.1;3719454.74;3581908.91;502720.92
206179;5476;2025-01-11;USD;2030-01-10;2710910.46;2710910.46;2108485.91;2108485.91;552083.61
484994;5476;2025-01-25;EUR;2026-01-20;1324671.95;1489178.67;0.0;0.0;0.0
471185;5476;2025-02-21;CNY;2030-02-20;2110316.58;272157.53;241917.8;1875836.96;327896.3
420269;5476;2025-07-22;CNY;2027-07-12;3332562.66;418513.93;313885.45;2499422.0;139092.83
489616;5476;2025-08-01;TRY;2030-07-31;60752.91;1841.25;1636.67;54002.59;11791.77
451154;5476;2025-08-14;USD;2026-08-09;4952541.05;4952541.05;2476270.52;2476270.52;219211.85
510180;5476;2025-10-19;TRY;2032-10-17;941639.48;26656.99;26656.99;941639.48;132771.17
374456;5476;2025-11-24;TRY;2026-11-19;631182.93;18323.31;18323.31;631182.93;180486.76
362665;5476;2026-01-13;CNY;2027-01-08;4415148.69;639150.26;639150.26;4415148.69;665583.67
434475;5476;2026-01-20;CNY;2027-01-15;2791078.05;404044.89;404044.89;2791078.05;987343.86
485552;5476;2026-02-05;TRY;2027-01-31;1791831.69;50369.56;50369.56;1791831.69;793423.07
420993;5476;2026-02-13;EUR;2033-02-11;2515704.15;2912644.79;2912644.79;2515704.15;341381.05
531183;5578;2024-01-02;USD;2024-12-27;2596514.53;2596514.53;0.0;0.0;0.0
250454;5578;2024-01-31;CNY;2025-01-25;2116188.18;290814.82;0.0;0.0;0.0
382388;5578;2024-03-19;TRY;2031-03-18;2805311.46;97216.94;75613.18;2181908.91;807282.05
466133;5578;2024-04-02;CNY;2025-03-28;2251171.08;315926.79;0.0;0.0;0.0
203349;5578;2024-04-29;CNY;2031-04-28;65856.17;9242.18;7188.36;51221.47;243.02
309715;5578;2024-05-13;USD;2031-05-12;4783354.3;4783354.3;3720386.68;3720386.68;956780.11
221088;5578;2024-06-11;USD;2025-06-06;1577427.04;1577427.04;0.0;0.0;0.0
372833;5578;2024-07-12;CNY;2026-07-02;4589087.78;590606.77;147651.69;1147271.95;74572.68
532809;5578;2024-08-04;USD;2025-07-30;2793002.32;2793002.32;0.0;0.0;0.0
369984;5578;2024-10-06;USD;2026-09-26;1305481.27;1305481.27;652740.64;652740.64;156168.2
526880;5578;2024-12-18;USD;2025-12-13;4373772.79;4373772.79;0.0;0.0;0.0
261545;5578;2024-12-22;EUR;2026-12-12;1235157.65;1282587.89;641293.94;617578.82;5357.5
233779;5578;2025-01-21;TRY;2027-01-11;1475313.45;45104.48;22552.24;737656.72;60450.97
151959;5578;2025-02-06;TRY;2026-02-01;1997550.27;59521.41;0.0;0.0;0.0
351047;5578;2025-03-11;USD;2026-03-06;4988460.6;4988460.6;2494230.3;2494230.3;416411.75
483573;5578;2025-06-10;CNY;2026-06-05;3098671.4;463811.09;463811.09;3098671.4;23394.97
410934;5578;2025-11-04;CNY;2026-10-30;464942.52;72635.88;72635.88;464942.52;38962.18
418148;5578;2025-11-13;USD;2027-11-03;357469.6;357469.6;357469.6;357469.6;141325.61
322315;5578;2025-12-07;CNY;2032-12-05;3310151.18;436516.08;436516.08;3310151.18;1524821.14
222860;5578;2026-01-27;TRY;2028-01-17;3614024.89;107002.32;107002.32;3614024.89;188110.0
297752;5578;2026-01-30;EUR;2027-01-25;4033054.91;4520123.26;4520123.26;4033054.91;391206.33
455697;5839;2024-01-10;USD;2025-01-04;961533.6;961533.6;0.0;0.0;0.0
536125;5839;2024-01-18;USD;2025-01-12;1944116.72;1944116.72;0.0;0.0;0.0
522429;5839;2024-02-28;USD;2026-02-17;4438824.12;4438824.12;0.0;0.0;0.0
393214;5839;2024-03-19;TRY;2025-03-14;439793.72;15240.87;0.0;0.0;0.0
502735;5839;2024-04-18;CNY;2025-04-13;1568619.42;220138.26;0.0;0.0;0.0
545180;5839;2024-04-25;EUR;2025-04-20;2080558.15;2274394.07;0.0;0.0;0.0
397787;5839;2024-05-27;EUR;2025-05-22;162839.75;179125.66;0.0;0.0;0.0
338387;5839;2024-07-27;EUR;2026-07-17;2444380.26;2435476.15;608869.04;611095.06;26384.03
258042;5839;2024-08-17;EUR;2025-08-12;3988724.14;4190542.82;0.0;0.0;0.0
432669;5839;2024-09-24;EUR;2025-09-19;2958496.43;3072713.38;0.0;0.0;0.0
510379;5839;2024-10-26;EUR;2026-10-16;3557767.49;3695840.84;1847920.42;1778883.75;259005.47
270004;5839;2024-11-20;CNY;2025-11-15;959669.78;138105.47;0.0;0.0;0.0
433271;5839;2024-12-10;USD;2026-11-30;3364328.98;3364328.98;1682164.49;1682164.49;301527.98
274765;5839;2025-01-15;TRY;2030-01-14;4729200.58;144584.96;112454.97;3678267.12;1108731.88
126268;5839;2025-01-20;EUR;2027-01-10;4428853.67;4978858.67;2489429.34;2214426.83;347720.37
218905;5839;2025-03-04;EUR;2026-02-27;1338039.11;1401687.08;0.0;0.0;0.0
383667;5839;2025-04-22;USD;2027-04-12;3090951.58;3090951.58;2318213.68;2318213.69;113621.45
466944;5839;2025-04-23;USD;2026-04-18;779953.07;779953.07;779953.07;779953.07;215501.03
213319;5839;2025-06-14;CNY;2026-06-09;4955656.54;741765.8;741765.8;4955656.54;842957.18
154046;5839;2025-07-28;EUR;2027-07-18;2310161.07;2509413.48;1882060.11;1732620.8;156325.71
445353;5839;2025-09-15;EUR;2027-09-05;4166448.78;4199565.65;4199565.65;4166448.78;1808238.77
285155;5839;2025-12-05;EUR;2027-11-25;806209.55;887786.74;887786.74;806209.55;96825.77
417424;5839;2026-01-24;CNY;2028-01-14;2265864.35;328013.37;328013.37;2265864.35;224773.74
410514;5839;2026-01-29;CNY;2027-01-24;2086820.14;302094.39;302094.39;2086820.14;311770.93
254177;5839;2026-02-24;CNY;2031-02-23;1287607.57;176463.88;176463.88;1287607.57;591269.4
368944;5939;2024-01-29;USD;2025-01-23;3535420.24;3535420.24;0.0;0.0;0.0
520480;5939;2024-01-31;CNY;2025-01-25;1863253.28;256055.52;0.0;0.0;0.0
309702;5939;2024-02-21;USD;2025-02-15;3265333.5;3265333.5;0.0;0.0;0.0
395501;5939;2024-02-24;EUR;2026-02-13;4939250.91;5589015.97;0.0;0.0;0.0
165604;5939;2024-02-28;TRY;2031-02-26;4462439.82;154010.0;119785.56;3470786.53;1258507.2
342903;5939;2024-03-08;USD;2025-03-03;249769.28;249769.28;0.0;0.0;0.0
495344;5939;2024-03-29;TRY;2025-03-24;3681708.59;127588.13;0.0;0.0;0.0
414589;5939;2024-05-02;EUR;2026-04-22;1631338.28;1794491.48;448622.87;407834.57;28227.25
259838;5939;2024-05-15;EUR;2025-05-10;661616.69;727786.22;0.0;0.0;0.0
315887;5939;2024-06-26;CNY;2025-06-21;1071380.14;145381.19;0.0;0.0;0.0
191003;5939;2024-08-04;USD;2025-07-30;788085.67;788085.67;0.0;0.0;0.0
242157;5939;2024-08-11;CNY;2025-08-06;4505153.98;638208.13;0.0;0.0;0.0
224806;5939;2024-10-28;USD;2026-10-18;4355499.57;4355499.57;2177749.78;2177749.79;156144.66
300624;5939;2024-12-11;TRY;2026-12-01;1779582.4;53093.18;26546.59;889791.2;46691.79
180943;5939;2025-01-17;USD;2026-01-12;1133897.38;1133897.38;0.0;0.0;0.0
136354;5939;2025-03-14;USD;2027-03-04;591971.89;591971.89;443978.92;443978.92;111349.91
154229;5939;2025-03-30;TRY;2026-03-25;152645.39;4588.34;4588.34;152645.39;26865.59
180505;5939;2025-04-26;USD;2026-04-21;4565781.19;4565781.19;4565781.19;4565781.19;1291431.21
167679;5939;2025-05-06;TRY;2030-05-05;3815874.91;112667.37;100148.77;3391888.81;337832.13
